airport_china,population_china
HFE,9465881
TXN,1470000
PEK,21893095
CKG,32054159
WXN,1753500
FOC,8291268
JJN,8782285
WUS,2680645
XMN,5163970
DNH,186027
LHW,4359446
CAN,18676605
MXZ,3873239
SWA,5502031
SZX,17560000
ZHA,6981236
ZUH,2439585
BHY,1539300
KWL,4931137
LZH,3758700
NNG,8741584
KWE,5987018
TEN,92601
HAK,2046189
SYX,1031396
SJW,11235086
HRB,10009854
JMU,2156505
MDG,2290208
NDG,4067489
LYA,7056699
NNY,9713112
CGO,12600574
ENH,749574
WUH,12326500
XFN,5260951
YIH,4017607
CGD,"52,79,102"
CSX,5980707
LLF,5289824
DYG,1476521
BAV,2709378
HLD,365012
HET,3446100
XIL,245886
CZX,4592431
LYG,4599360
NKG,9314685
NTG,7726635
XUZ,9083790
YNZ,7200000
KOW,8970014
JDZ,1669057
KHN,6255007
CGQ,9066906
YNJ,639000
DLC,7450785
DDG,2188436
JNZ,2703853
SHE,9070093
INC,2859074
XNN,2467965
HZG,3211462
XIY,12952907
UYN,3634750
DOY,2193518
TNA,9202432
LYI,11018365
TAO,10071722
WEF,9386705
WEH,2906548
YNT,6968202
SHA,24870895
PVG,24870895
TYN,5305061
CTU,20937757
GYS,2305657
LZO,4254149
MIG,4868243
YBP,4588804
TSN,13866009
LXA,867900
BPX,798067
AKU,695000
AAT,199037
KHG,711300
KRL,549324
KCA,492535
IQM,65572
TCG,160000
URC,4054000
YIN,542507
BSD,2506491
DLU,652700
JHG,519935
KMG,8460088
LJG,1253878
LNJ,2429505
LUM,410426
SYM,2542898
DIG,130000
ZAT,5213533
HGH,11936010
NGB,9404283
HYN,6662888
WNZ,9572903
YIW,1859390
HSN,1157817
HKG,7413070
ZGC,464050
JIL,3623713